,dayNumber,numAgents,numInfected,rZero,growthRate
0,0,1000,10,2.0,0.0
1,1,1000,11,3.0,0.0
2,2,1000,13,3.75,1.1818181818181819
3,3,1000,18,1.0,1.3846153846153846
4,4,1000,22,1.0,1.2222222222222223
5,5,1000,28,0.0,1.2727272727272727
6,6,1000,31,2.0,1.1071428571428572
7,7,1000,36,2.125,1.1612903225806452
8,8,1000,38,1.5,1.0555555555555556
9,9,1000,43,2.2857142857142856,1.131578947368421
10,10,1000,46,3.0,1.069767441860465
11,11,1000,53,2.4285714285714284,1.1521739130434783
12,12,1000,62,0.8,1.169811320754717
13,13,1000,71,0.8571428571428571,1.1451612903225807
14,14,1000,78,1.8,1.0985915492957747
15,15,1000,89,1.0909090909090908,1.141025641025641
16,16,1000,97,1.4615384615384615,1.0898876404494382
17,17,1000,105,0.9375,1.0824742268041236
18,18,1000,111,1.9411764705882353,1.0571428571428572
19,19,1000,117,1.2307692307692308,1.054054054054054
20,20,1000,126,1.5454545454545454,1.0769230769230769
21,21,1000,131,1.1666666666666667,1.0396825396825398
22,22,1000,144,1.2352941176470589,1.099236641221374
23,23,1000,147,1.6666666666666667,1.0208333333333333
24,24,1000,147,1.6842105263157894,1.0
25,25,1000,159,1.35,1.0816326530612246
26,26,1000,171,0.6842105263157895,1.0754716981132075
27,27,1000,186,0.75,1.087719298245614
28,28,1000,198,0.23076923076923078,1.064516129032258
29,29,1000,208,0.10344827586206896,1.0505050505050506
30,30,1000,212,0.0,1.0192307692307692
