,dayNumber,numAgents,numInfected,rZero,growthRate
0,0,1000,10,0.0,0.0
1,1,1000,10,2.0,0.0
2,2,1000,11,2.75,1.1
3,3,1000,16,2.75,1.4545454545454546
4,4,1000,21,5.0,1.3125
5,5,1000,24,1.0,1.1428571428571428
6,6,1000,30,2.0,1.25
7,7,1000,33,1.2857142857142858,1.1
8,8,1000,35,0.0,1.0606060606060606
9,9,1000,39,3.5,1.1142857142857143
10,10,1000,44,2.9,1.1282051282051282
11,11,1000,49,3.0,1.1136363636363635
12,12,1000,60,4.166666666666667,1.2244897959183674
13,13,1000,70,1.0,1.1666666666666667
14,14,1000,83,2.0,1.1857142857142857
15,15,1000,94,1.75,1.1325301204819278
16,16,1000,106,1.5555555555555556,1.127659574468085
17,17,1000,121,2.4444444444444446,1.1415094339622642
18,18,1000,140,1.0,1.1570247933884297
19,19,1000,155,1.6111111111111112,1.1071428571428572
20,20,1000,173,1.7916666666666667,1.1161290322580646
21,21,1000,187,1.2,1.0809248554913296
22,22,1000,198,2.3076923076923075,1.0588235294117647
23,23,1000,216,1.0,1.0909090909090908
24,24,1000,249,1.28125,1.1527777777777777
25,25,1000,268,1.5161290322580645,1.0763052208835342
26,26,1000,283,0.95,1.0559701492537314
27,27,1000,310,0.6458333333333334,1.0954063604240283
28,28,1000,336,0.3333333333333333,1.0838709677419356
29,29,1000,341,0.043478260869565216,1.0148809523809523
30,30,1000,349,0.0,1.0234604105571847
